Data,Ospiti
2022-08-24 00:00:00.000000 UTC,366.0
2022-08-25 00:00:00.000000 UTC,417.0
2022-08-26 00:00:00.000000 UTC,347.0
2022-08-27 00:00:00.000000 UTC,635.0
2022-08-28 00:00:00.000000 UTC,556.0
2022-08-29 00:00:00.000000 UTC,282.0
2022-08-30 00:00:00.000000 UTC,259.0
2022-08-31 00:00:00.000000 UTC,351.0
2022-09-01 00:00:00.000000 UTC,335.0
2022-09-02 00:00:00.000000 UTC,477.0
2022-09-03 00:00:00.000000 UTC,680.0
2022-09-04 00:00:00.000000 UTC,437.0
2022-09-05 00:00:00.000000 UTC,332.0
2022-09-06 00:00:00.000000 UTC,298.0
2022-09-07 00:00:00.000000 UTC,360.0
2022-09-08 00:00:00.000000 UTC,380.0
2022-09-09 00:00:00.000000 UTC,489.0
2022-09-10 00:00:00.000000 UTC,629.0
2022-09-11 00:00:00.000000 UTC,499.0
2022-09-12 00:00:00.000000 UTC,307.0
2022-09-13 00:00:00.000000 UTC,351.0
2022-09-14 00:00:00.000000 UTC,314.0
2022-09-15 00:00:00.000000 UTC,275.0
2022-09-16 00:00:00.000000 UTC,477.0
2022-09-17 00:00:00.000000 UTC,778.0
2022-09-18 00:00:00.000000 UTC,402.0
2022-09-19 00:00:00.000000 UTC,272.0
2022-09-20 00:00:00.000000 UTC,353.0
2022-09-21 00:00:00.000000 UTC,357.0
2022-09-22 00:00:00.000000 UTC,277.0
2022-09-23 00:00:00.000000 UTC,438.0
2022-09-24 00:00:00.000000 UTC,771.0
2022-09-25 00:00:00.000000 UTC,500.0
2022-09-26 00:00:00.000000 UTC,237.0
2022-09-27 00:00:00.000000 UTC,266.0
2022-09-28 00:00:00.000000 UTC,388.0
2022-09-29 00:00:00.000000 UTC,290.0
2022-09-30 00:00:00.000000 UTC,369.0
2022-10-01 00:00:00.000000 UTC,793.0
2022-10-02 00:00:00.000000 UTC,571.0
2022-10-03 00:00:00.000000 UTC,281.0
2022-10-04 00:00:00.000000 UTC,247.0
2022-10-05 00:00:00.000000 UTC,339.0
2022-10-06 00:00:00.000000 UTC,330.0
2022-10-07 00:00:00.000000 UTC,399.0
2022-10-08 00:00:00.000000 UTC,715.0
2022-10-09 00:00:00.000000 UTC,574.0
2022-10-10 00:00:00.000000 UTC,287.0
2022-10-11 00:00:00.000000 UTC,257.0
2022-10-12 00:00:00.000000 UTC,255.0
2022-10-13 00:00:00.000000 UTC,288.0
2022-10-14 00:00:00.000000 UTC,404.0
2022-10-15 00:00:00.000000 UTC,845.0
2022-10-16 00:00:00.000000 UTC,482.0
2022-10-17 00:00:00.000000 UTC,220.0
2022-10-18 00:00:00.000000 UTC,306.0
2022-10-19 00:00:00.000000 UTC,336.0
2022-10-20 00:00:00.000000 UTC,361.0
2022-10-21 00:00:00.000000 UTC,400.0
2022-10-22 00:00:00.000000 UTC,913.0
2022-10-23 00:00:00.000000 UTC,582.0
2022-10-24 00:00:00.000000 UTC,259.0
2022-10-25 00:00:00.000000 UTC,307.0
2022-10-26 00:00:00.000000 UTC,308.0
2022-10-27 00:00:00.000000 UTC,425.0
2022-10-28 00:00:00.000000 UTC,428.0
2022-10-29 00:00:00.000000 UTC,620.0
2022-10-30 00:00:00.000000 UTC,631.0
2022-10-31 00:00:00.000000 UTC,580.0
2022-11-01 00:00:00.000000 UTC,489.0
2022-11-02 00:00:00.000000 UTC,221.0
2022-11-03 00:00:00.000000 UTC,285.0
2022-11-04 00:00:00.000000 UTC,371.0
2022-11-05 00:00:00.000000 UTC,701.0
2022-11-06 00:00:00.000000 UTC,435.0
2022-11-07 00:00:00.000000 UTC,206.0
2022-11-08 00:00:00.000000 UTC,294.0
2022-11-09 00:00:00.000000 UTC,349.0
2022-11-10 00:00:00.000000 UTC,304.0
2022-11-11 00:00:00.000000 UTC,419.0
2022-11-12 00:00:00.000000 UTC,814.0
2022-11-13 00:00:00.000000 UTC,431.0
2022-11-14 00:00:00.000000 UTC,194.0
2022-11-15 00:00:00.000000 UTC,284.0
2022-11-16 00:00:00.000000 UTC,322.0
2022-11-17 00:00:00.000000 UTC,306.0
2022-11-18 00:00:00.000000 UTC,469.0
2022-11-19 00:00:00.000000 UTC,697.0
2022-11-20 00:00:00.000000 UTC,542.0
2022-11-21 00:00:00.000000 UTC,249.0
2022-11-22 00:00:00.000000 UTC,324.0
2022-11-23 00:00:00.000000 UTC,315.0
2022-11-24 00:00:00.000000 UTC,315.0
2022-11-25 00:00:00.000000 UTC,375.0
2022-11-26 00:00:00.000000 UTC,732.0
2022-11-27 00:00:00.000000 UTC,495.0
2022-11-28 00:00:00.000000 UTC,226.0
2022-11-29 00:00:00.000000 UTC,289.0
2022-11-30 00:00:00.000000 UTC,247.0
